time,mag
0,0.8951617
0.0201416,0.8714491
0.0402832,1.025786
0.0604248,1.056975
0.08056641,1.109219
0.100708,1.128476
0.1208496,1.449722
0.1409912,1.390567
0.1611328,1.051404
0.1812744,0.959417
0.201416,1.033157
0.2215576,1.056975
0.2416992,1.109219
0.2618408,1.128476
0.2819824,1.449722
0.302124,1.390567
0.3222656,1.051404
0.3424072,0.959417
0.3625488,1.033157
0.3826904,1.056975
0.402832,1.109219
0.4229736,1.128476
0.4431152,1.449722
0.4632568,1.390567
0.4833984,1.051404
0.50354,0.959417
0.5236816,1.033157
0.5438232,0.8943687
0.5639648,0.8943687
0.5841064,0.8404363
0.604248,0.8234355
0.6243896,0.8966666
0.6445313,0.9756484
0.6646729,0.9756484
0.6848145,1.02005
0.7049561,1.079103
0.7250977,1.062936
0.7452393,1.137089
0.7653809,1.197586
0.7855225,1.197586
0.8056641,1.133213
0.8258057,0.9479033
0.8459473,0.9504589
0.8660889,0.9504589
0.8862305,0.9047117
0.9063721,0.997858
0.9265137,1.035211
0.9466553,1.051102
0.9667969,1.056786
0.9869385,1.04368
1.00708,1.043673
1.027222,1.001148
1.047363,1.001148
1.067505,0.9262304
1.087646,0.9262304
1.107788,0.9660265
1.12793,1.050498
1.148071,1.045588
1.168213,1.050498
1.188354,1.045588
1.208496,0.9725704
1.228638,1.560164
1.248779,1.196131
1.268921,0.9862003
1.289063,0.9862003
1.309204,0.8387746
1.329346,0.7779635
1.349487,1.114369
1.369629,1.195439
1.389771,1.129844
1.409912,1.161738
1.430054,1.09716
1.450195,1.09716
1.470337,0.8873847
1.490479,0.8873847
1.51062,0.8823228
1.530762,0.9893439
1.550903,0.8823228
1.571045,0.9893439
1.591187,0.964776
1.611328,0.9649585
1.63147,1.076975
1.651611,1.15334
1.671753,1.012478
1.691895,1.184607
1.712036,1.184607
1.732178,1.138146
1.752319,0.9710216
1.772461,1.146173
1.792603,1.038445
1.812744,0.9105591
1.832886,0.938282
1.853027,0.938282
1.873169,1.019707
1.893311,1.132274
1.913452,1.132274
1.933594,1.124541
1.953735,1.207151
1.973877,1.150427
1.994019,1.072916
2.01416,0.998193
2.034302,1.009846
2.054443,1.070161
2.074585,1.009846
2.094727,1.070161
2.114868,1.08127
2.13501,0.9344265
2.155151,0.9344265
2.175293,0.8394064
2.195435,1.102107
2.215576,1.102107
2.235718,1.10227
2.255859,0.9905444
2.276001,0.9589122
2.296143,0.944563
2.316284,0.9933091
2.336426,1.101306
2.356567,1.101306
2.376709,1.007828
2.396851,1.019915
2.416992,1.003935
2.437134,1.05383
2.457275,1.05347
2.477417,1.065369
2.497559,1.03419
2.5177,1.051095
2.537842,1.051095
2.557983,1.051095
2.578125,1.06086
2.598267,1.068318
2.618408,1.068909
2.63855,0.9946582
2.658691,0.958993
2.678833,0.970211
2.698975,1.057593
2.719116,0.9810139
2.739258,0.9810139
2.759399,1.048433
2.779541,1.049134
2.799683,1.02938
2.819824,0.9471664
2.839966,0.9471664
2.860107,0.8815752
2.880249,0.8797139
2.900391,0.9274918
2.920532,0.9945179
2.940674,0.9945179
2.960815,1.127724
2.980957,1.080128
3.001099,1.059523
3.02124,1.117118
3.041382,1.115555
3.061523,1.157965
3.081665,1.219228
3.101807,1.058489
3.121948,1.058489
3.14209,1.058489
3.162231,0.9653171
3.182373,1.166782
3.202515,0.9653171
3.222656,1.166782
3.242798,1.032273
3.262939,0.8185471
3.283081,0.8033518
3.303223,0.9485996
3.323364,0.7123581
3.343506,1.003185
3.363647,1.003185
3.383789,0.8514221
3.403931,0.9488437
3.424072,1.01936
3.444214,0.975228
3.464355,0.8888118
3.484497,0.9346594
3.504639,0.9346594
3.52478,1.070511
3.544922,1.04763
3.565063,1.04763
3.585205,0.9754333
3.605347,1.071609
3.625488,0.9045278
3.64563,0.7440756
3.665771,0.7079706
3.685913,0.7688455
3.706055,0.9715894
3.726196,1.200007
3.746338,1.200007
3.766479,1.388742
3.786621,1.445814
3.806763,1.445814
3.826904,1.306942
3.847046,1.06597
3.867188,0.9475721
3.887329,0.9475721
3.907471,1.025346
3.927612,1.134123
3.947754,0.9887136
3.967896,0.9887136
3.988037,0.8793988
4.008179,0.932225
4.02832,1.078907
4.048462,1.137522
4.068604,0.9574087
4.088745,0.8211379
4.108887,0.8239331
4.129028,0.9439896
4.14917,1.078907
4.169312,1.137522
4.189453,0.9574087
4.209595,0.8211379
4.229736,0.8239331
4.249878,0.9439896
4.27002,1.117358
4.290161,1.117358
4.310303,1.159171
4.330444,1.228545
4.350586,1.352022
4.370728,1.352022
4.390869,1.322827
4.411011,1.574589
4.431152,1.48082
4.451294,1.042574
4.471436,1.48082
4.491577,1.042574
4.511719,1.48082
4.53186,1.042574
4.552002,0.6796023
4.572144,0.7289511
4.592285,1.143457
4.612427,1.143457
4.632568,1.645754
4.65271,1.530129
4.672852,1.383769
4.692993,1.213258
4.713135,1.053982
4.733276,1.053982
4.753418,0.9147612
4.77356,0.8456349
4.793701,0.7517881
4.813843,0.7517881
4.833984,0.8048856
4.854126,0.8602534
4.874268,1.168631
4.894409,1.348092
4.914551,1.144497
4.934692,1.144497
4.954834,0.9255693
4.974976,1.076029
4.995117,1.38792
5.015259,1.131112
5.0354,1.025587
5.055542,1.040791
5.075684,1.029537
5.095825,0.841272
5.115967,0.841272
5.136108,1.013571
5.15625,1.013571
5.176392,1.036101
5.196533,0.8085812
5.216675,1.036101
5.236816,0.8085812
5.256958,1.097737
5.2771,1.375724
5.297241,1.230597
5.317383,1.344025
5.337524,1.292177
5.357666,1.292177
5.377808,1.304373
5.397949,1.267189
5.418091,1.324173
5.438232,1.342242
5.458374,1.194018
5.478516,1.025719
5.498657,0.8345729
5.518799,0.8345729
5.53894,0.7642325
5.559082,0.7086838
5.579224,0.7642325
5.599365,0.7086838
5.619507,0.7741517
5.639648,0.7741517
5.65979,1.014766
5.679932,1.241175
5.700073,1.125682
5.720215,0.849708
5.740356,0.7946652
5.760498,0.8550986
5.78064,0.7929451
5.800781,0.7929451
5.820923,0.7493029
5.841064,0.7954351
5.861206,0.7954351
5.881348,0.8649267
5.901489,1.007215
5.921631,1.121302
5.941772,1.073788
5.961914,0.9903638
5.982056,0.8317757
6.002197,0.8317757
6.022339,0.7375473
6.04248,0.8377647
6.062622,0.8669116
6.082764,0.7928294
6.102905,0.7928294
6.123047,0.9167485
6.143188,1.011536
6.16333,1.505948
6.183472,0.7746459
6.203613,0.7746459
6.223755,1.251648
6.243896,0.8021467
6.264038,0.8021467
6.28418,0.9366624
6.304321,1.099112
6.324463,0.9366624
6.344604,1.099112
6.364746,0.9653833
6.384888,0.9277989
6.405029,0.9208819
6.425171,1.59336
6.445313,1.234872
6.465454,0.8906764
6.485596,0.9277989
6.505737,0.9208819
6.525879,1.59336
6.546021,1.234872
6.566162,0.8906764
6.586304,0.9512732
6.606445,0.9512732
6.626587,0.9569592
6.646729,0.9752097
6.66687,1.065744
6.687012,1.146889
6.707153,1.116889
6.727295,1.116889
6.747437,1.116889
6.767578,1.116889
6.78772,1.011915
6.807861,0.9510036
6.828003,1.094667
6.848145,1.094667
6.868286,1.103441
6.888428,0.859383
6.908569,0.8240002
6.928711,0.8482844
6.948853,0.9778868
6.968994,0.9778868
6.989136,1.091109
7.009277,1.025804
7.029419,0.9583846
7.049561,0.9616081
7.069702,1.025168
7.089844,1.022191
7.109985,0.9464359
7.130127,0.9526131
7.150269,0.9526131
7.17041,0.9526131
7.190552,1.000647
7.210693,1.062682
7.230835,0.9970449
7.250977,0.969895
7.271118,0.9742383
7.29126,0.9996206
7.311401,0.9841495
7.331543,0.9781614
7.351685,0.9781614
7.371826,0.9869705
7.391968,0.9511161
7.412109,0.9371169
7.432251,0.9761764
7.452393,0.9472095
7.472534,0.914637
7.492676,0.914637
7.512817,0.9562342
7.532959,1.053321
7.553101,1.053321
7.573242,1.089368
7.593384,1.098217
7.613525,1.056599
7.633667,0.9738374
7.653809,0.9136535
7.67395,0.9001889
7.694092,0.8805401
7.714233,0.9236528
7.734375,0.9236528
7.754517,1.079755
7.774658,1.166396
7.7948,1.166396
7.814941,1.172334
7.835083,1.129422
7.855225,1.044446
7.875366,0.9613788
7.895508,0.9449227
7.915649,0.9317831
7.935791,0.9317831
7.955933,0.9448534
7.976074,0.9262175
7.996216,0.9179249
8.016357,0.937636
8.036499,0.9705192
8.056641,0.9708441
8.076782,0.9687145
8.096924,0.9474561
8.117065,0.9474561
8.137207,0.9474561
8.157349,0.9497752
8.17749,0.7797519
8.197632,0.7334767
8.217773,0.9974334
8.237915,1.170959
8.258057,1.107443
8.278198,1.058509
8.29834,1.113747
8.318481,1.113747
8.338623,1.137893
8.358765,0.9532824
8.378906,0.8574312
8.399048,0.9781523
8.419189,0.9594544
8.439331,0.9844999
8.459473,1.039641
8.479614,1.039641
8.499756,1.07317
8.519897,1.07317
8.540039,0.9544511
8.560181,0.9507866
8.580322,0.9514329
8.600464,1.102112
8.620605,1.138384
8.640747,1.04681
8.660889,0.9109649
8.68103,0.9781768
8.701172,0.9781768
8.721313,0.9555535
8.741455,0.9555535
8.761597,0.9073478
8.781738,0.9341358
8.80188,0.9986251
8.822021,1.078867
8.842163,1.216605
8.862305,1.078867
8.882446,1.216605
8.902588,1.277451
8.922729,1.272791
8.942871,1.272791
8.963013,1.269036
8.983154,1.085512
9.003296,0.8923027
9.023438,0.8557507
9.043579,0.8300246
9.063721,0.7769532
9.083862,0.7549487
9.104004,0.9070933
9.124146,0.9070933
9.144287,0.9070933
9.164429,0.9926377
9.18457,1.029669
9.204712,1.042711
9.224854,0.9695948
9.244995,0.8675914
9.265137,0.8827587
9.285278,0.9826257
9.30542,1.026578
9.325562,1.026578
9.345703,1.114481
9.365845,1.09753
9.385986,1.114481
9.406128,1.09753
9.42627,1.114481
9.446411,1.09753
9.466553,1.008125
9.486694,0.9291974
9.506836,0.8412066
9.526978,0.8737581
9.547119,0.8406193
9.567261,0.8165994
9.587402,0.8752334
9.607544,0.8752334
9.627686,0.9786457
9.647827,1.049191
9.667969,1.064762
9.68811,1.051578
9.708252,1.083208
9.728394,1.122394
9.748535,1.152979
9.768677,1.152979
9.788818,1.134707
9.80896,1.078557
9.829102,1.059211
9.849243,1.059211
9.869385,1.055639
9.889526,1.078905
9.909668,1.10622
9.92981,1.074224
9.949951,1.042818
9.970093,1.042818
9.990234,0.9712375
10.01038,0.9590909
10.03052,0.9488207
10.05066,1.040198
10.0708,1.188668
10.09094,1.13419
10.11108,1.059812
10.13123,1.221091
10.15137,1.221091
10.17151,1.3284
10.19165,1.3284
10.21179,1.14937
10.23193,1.01076
10.25208,1.038057
10.27222,1.103195
10.29236,1.102273
10.3125,1.048133
10.33264,1.023386
10.35278,0.9919888
10.37292,0.9919888
10.39307,0.9330781
10.41321,0.8837923
10.43335,0.8408378
10.45349,0.8408378
10.47363,0.8508916
10.49377,0.9318861
10.51392,0.9705078
10.53406,0.9374467
10.5542,0.8694271
10.57434,0.8966078
10.59448,0.8966078
10.61462,0.9763264
10.63476,1.073592
10.65491,1.136843
10.67505,1.204297
10.69519,1.229728
10.71533,1.040906
10.73547,0.850886
10.75561,0.850886
10.77576,0.850886
10.7959,0.9354794
10.81604,1.048837
10.83618,0.9913206
10.85632,0.8799863
10.87646,0.8940176
10.89661,0.984781
10.91675,1.037187
10.93689,1.062071
10.95703,1.062071
10.97717,1.040358
10.99731,1.029629
11.01746,1.010964
11.0376,0.9820052
11.05774,0.980283
11.07788,0.980283
11.09802,1.014031
11.11816,1.033151
11.1383,1.016396
11.15845,1.016396
11.17859,0.9926243
11.19873,0.9786906
11.21887,0.9610263
11.23901,0.9420344
11.25915,0.9337527
11.2793,0.9388717
11.29944,0.9541042
11.31958,0.9609736
11.33972,0.9609736
11.35986,0.9412034
11.38,0.9217245
11.40015,0.9086814
11.42029,0.9086814
11.44043,0.916387
11.46057,0.9255432
11.48071,0.916387
11.50085,0.9255432
11.521,0.9296267
11.54114,0.9441908
11.56128,0.9615483
11.58142,0.9615483
11.60156,1.009868
11.6217,1.067305
11.64184,1.089165
11.66199,1.075265
11.68213,1.070766
11.70227,1.081346
11.72241,1.100304
11.74255,1.051338
11.76269,1.051338
11.78284,1.051338
11.80298,1.002445
11.82312,1.031672
11.84326,1.105241
11.8634,1.166213
11.88354,1.258229
11.90369,1.334491
11.92383,1.266842
11.94397,1.125345
11.96411,1.125345
11.98425,1.091743
12.00439,1.026022
12.02454,0.9457233
12.04468,1.000211
12.06482,1.000211
12.08496,1.143866
12.1051,1.154857
12.12524,1.143866
12.14538,1.154857
12.16553,1.051117
12.18567,0.8766615
12.20581,0.8766615
12.22595,0.801442
12.24609,0.9208992
12.26623,0.9210496
12.28638,0.9208992
12.30652,0.9210496
12.32666,0.810771
12.3468,0.7706487
12.36694,0.8084596
12.38708,0.8402629
12.40723,0.8702493
12.42737,0.8702493
12.44751,0.9018912
12.46765,0.9018912
12.48779,0.9082807
12.50793,0.8887334
12.52808,0.8573514
12.54822,0.836111
12.56836,0.8573514
12.5885,0.836111
12.60864,0.8338081
12.62878,0.8365879
12.64892,0.8446249
12.66907,0.8446249
12.68921,0.8130754
12.70935,0.7728536
12.72949,0.8451833
12.74963,1.028171
12.76977,1.258151
12.78992,1.258151
12.81006,1.319325
12.8302,1.175281
12.85034,1.225248
12.87048,1.175281
12.89062,1.225248
12.91077,1.335132
12.93091,1.260123
12.95105,1.260123
12.97119,1.196333
12.99133,1.220866
13.01147,1.135637
13.03162,1.05009
13.05176,1.033621
13.0719,1.019911
13.09204,1.019911
13.11218,0.9530292
13.13232,0.9460256
13.15246,0.9441734
13.17261,0.9270448
13.19275,0.8754161
13.21289,0.836082
13.23303,0.836082
13.25317,0.8467405
13.27331,0.871754
13.29346,0.871754
13.3136,0.9025503
13.33374,0.9131258
13.35388,0.9133316
13.37402,0.9090717
13.39416,0.9073578
13.41431,0.9032418
13.43445,0.8958832
13.45459,0.8950098
13.47473,0.8950098
13.49487,0.8950098
13.51501,0.8514997
13.53516,0.7754781
13.5553,0.9424083
13.57544,0.9424083
13.59558,1.17461
13.61572,1.268644
13.63586,1.251634
13.656,1.308072
13.67615,1.303375
13.69629,1.303375
13.71643,1.190804
13.73657,1.097634
13.75671,1.068896
13.77685,1.015375
13.797,0.9615356
13.81714,0.9323646
13.83728,0.9323646
13.85742,0.9400315
13.87756,0.9503362
13.8977,0.9400315
13.91785,0.9503362
13.93799,0.9400315
13.95813,0.9503362
13.97827,0.9707009
13.99841,1.000195
14.01855,1.007547
14.0387,0.9772017
14.05884,0.966213
14.07898,0.9892095
14.09912,1.009295
14.11926,1.017629
14.1394,1.017629
14.15954,1.023638
14.17969,1.037864
14.19983,1.030904
14.21997,1.01836
14.24011,0.9798784
14.26025,0.9798784
14.28039,0.9431599
14.30054,0.9579601
14.32068,0.9798172
14.34082,0.9798172
14.36096,0.9741967
14.3811,0.9959005
14.40124,1.024359
14.42139,1.006442
14.44153,0.9812269
14.46167,0.9837875
14.48181,1.002019
14.50195,1.038113
14.52209,1.038113
14.54224,1.038113
14.56238,1.053641
14.58252,1.028671
14.60266,1.008173
14.6228,1.018108
14.64294,1.01186
14.66308,0.9841722
14.68323,0.989868
14.70337,1.006246
14.72351,1.006246
14.74365,0.9877007
14.76379,0.9855176
14.78393,0.9855064
14.80408,0.9788966
14.82422,0.9547814
14.84436,0.9550892
14.8645,0.982505
14.88464,0.9930098
14.90478,0.9930098
14.92493,0.9930098
14.94507,0.9966764
14.96521,1.023898
14.98535,1.071905
15.00549,1.086902
15.02563,1.06949
15.04578,1.07326
15.06592,1.076704
15.08606,1.081746
15.1062,1.081746
15.12634,1.109375
15.14648,1.125773
15.16663,1.123254
15.18677,1.123254
15.20691,1.093022
15.22705,1.074786
15.24719,1.032498
15.26733,0.9584473
15.28747,0.9276053
15.30762,0.9276053
15.32776,0.9432525
15.3479,0.9472634
15.36804,0.9780741
15.38818,0.9831935
15.40832,0.9619586
15.42847,0.9779337
15.44861,1.005301
15.46875,1.020495
15.48889,1.020495
15.50903,1.020495
15.52917,1.00359
15.54932,0.9507657
15.56946,0.9458929
15.5896,0.9843935
15.60974,0.9787568
15.62988,0.9430141
15.65002,0.9787568
15.67017,0.9430141
15.69031,0.9410352
15.71045,0.9337716
15.73059,0.9337716
15.75073,0.9014167
15.77087,0.9030727
15.79101,0.9621568
15.81116,1.033319
15.8313,1.048071
15.85144,0.9998769
15.87158,0.9549985
15.89172,0.94423
15.91186,0.94423
15.93201,0.94423
15.95215,0.9782674
15.97229,1.002478
15.99243,1.01587
16.01257,1.014834
16.03271,1.013044
16.05285,1.011302
16.073,1.003295
16.09314,0.9711615
16.11328,0.9711615
16.13342,0.9626231
16.15356,0.9925669
16.1737,1.021152
16.19385,1.021152
16.21399,1.028734
16.23413,1.0221
16.25427,0.9889608
16.27441,0.9724814
16.29455,1.004655
16.3147,1.004655
16.33484,1.022354
16.35498,1.002688
16.37512,0.9822316
16.39526,0.9886584
16.4154,1.004819
16.43554,1.016958
16.45569,1.027793
16.47583,1.022447
16.49597,1.006258
16.51611,1.006258
16.53625,1.006258
16.55639,1.006892
16.57654,1.017096
16.59668,1.013263
16.61682,1.009048
16.63696,1.009048
16.6571,1.001634
16.67724,0.9902207
16.69739,0.9680458
16.71753,0.9623023
16.73767,0.9623023
16.75781,0.9743408
16.77795,0.9978006
16.79809,0.9655579
16.81824,0.9306504
16.83838,0.9445351
16.85852,0.9795439
16.87866,0.9795439
16.8988,0.9948293
16.91894,1.006167
16.93909,0.9948293
16.95923,1.006167
16.97937,0.9948293
16.99951,1.006167
17.01965,1.017176
17.03979,1.024254
17.05993,1.013201
17.08008,0.99552
17.10022,0.9888431
17.12036,0.9991749
17.1405,0.996797
17.16064,1.018978
17.18078,1.018978
17.20093,1.030131
17.22107,1.063062
17.24121,1.074277
17.26135,1.074277
17.28149,1.090119
17.30163,1.073293
17.32178,1.019899
17.34192,0.9784692
17.36206,0.9678016
17.3822,0.9678016
17.40234,0.9970344
17.42248,1.031131
17.44263,1.041451
17.46277,1.042112
17.48291,1.009163
17.50305,0.9963054
17.52319,1.034614
17.54333,1.034614
17.56347,1.065462
17.58362,1.065462
17.60376,1.028872
17.6239,1.000833
17.64404,0.9874859
17.66418,0.9874859
17.68432,0.9861419
17.70447,0.9911442
17.72461,1.01534
17.74475,1.016948
17.76489,0.9631063
17.78503,0.9631063
17.80517,0.9423389
17.82532,0.997161
17.84546,1.042756
17.8656,1.048211
17.88574,1.036823
17.90588,1.036823
17.92602,1.04144
17.94617,1.039773
17.96631,1.021932
17.98645,1.021932
18.00659,1.011938
18.02673,1.00981
18.04687,1.019324
18.06701,1.027068
18.08716,1.018891
18.1073,1.019319
18.12744,1.042766
18.14758,1.0538
18.16772,1.0538
18.18786,1.044638
18.20801,1.021994
18.22815,1.021994
18.24829,1.001916
18.26843,0.9834396
18.28857,0.9576039
18.30871,0.957215
18.32886,0.9977384
18.349,1.026248
18.36914,1.01723
18.38928,1.01723
18.40942,0.9914603
18.42956,0.9814708
18.44971,1.00092
18.46985,1.023294
18.48999,1.029418
18.51013,1.022093
18.53027,1.0026
18.55041,1.0026
18.57055,1.0026
18.5907,0.9888809
18.61084,1.002729
18.63098,1.025342
18.65112,0.9998462
18.67126,0.9729281
18.6914,0.9873403
18.71155,0.9972392
18.73169,0.9967747
18.75183,0.9967747
18.77197,1.010207
18.79211,1.015481
18.81225,1.016604
18.8324,1.021349
18.85254,1.021349
18.87268,1.026973
18.89282,1.026594
18.91296,1.022392
18.9331,1.022392
18.95325,1.018812
18.97339,0.9992413
18.99353,0.9992413
19.01367,0.9919207
19.03381,0.9891765
19.05395,0.9952475
19.07409,0.9936551
19.09424,0.9858564
19.11438,0.9815291
19.13452,0.9679126
19.15466,0.9679126
19.1748,0.9613672
19.19494,0.9890983
19.21509,0.9890983
19.23523,1.011331
19.25537,1.019788
19.27551,1.0146
19.29565,1.012689
19.31579,1.012689
19.33594,1.01415
19.35608,1.001839
19.37622,1.001839
19.39636,0.9873281
19.4165,0.9960316
19.43664,1.01153
19.45679,1.013207
19.47693,1.004743
19.49707,1.00879
19.51721,1.007429
19.53735,0.9966164
19.55749,0.9966164
19.57763,1.01036
19.59778,1.01036
19.61792,1.01797
19.63806,1.032664
19.6582,1.045183
19.67834,1.037906
19.69848,1.014277
19.71863,1.003727
19.73877,0.9998975
19.75891,0.9998975
19.77905,0.9939926
19.79919,0.9710343
19.81933,0.9599327
19.83948,0.9583002
19.85962,0.9475213
19.87976,0.9476287
19.8999,0.9476287
19.92004,0.9683741
19.94018,0.9719276
19.96033,0.9719276
19.98047,0.9554225
20.00061,0.9719473
20.02075,1.0032
20.04089,1.019391
20.06103,1.028642
20.08117,1.021274
20.10132,1.005818
20.12146,1.015723
20.1416,1.015723
20.16174,1.031397
20.18188,1.011003
20.20202,1.011003
20.22217,1.022141
20.24231,1.044127
20.26245,1.033277
20.28259,1.015867
20.30273,1.013292
20.32287,1.010574
20.34302,1.010574
20.36316,0.9986552
20.3833,0.9814927
20.40344,0.9650806
20.42358,0.9514776
20.44372,0.9548262
20.46387,0.9757854
20.48401,0.9889976
20.50415,0.9889976
20.52429,1.001798
20.54443,1.001181
20.56457,1.001181
20.58471,0.9894836
20.60486,0.9757917
20.625,0.970057
20.64514,0.9650211
20.66528,0.9695785
20.68542,0.9521617
20.70556,0.9252003
20.72571,0.9252003
20.74585,0.9313229
20.76599,0.9650151
20.78613,0.9739376
20.80627,0.9739376
20.82641,0.9296182
20.84656,0.8355881
20.8667,0.7962458
20.88684,0.8530633
20.90698,0.8803369
20.92712,0.8803369
20.94726,0.8803369
20.96741,0.8908838
20.98755,0.8818162
21.00769,0.8966464
21.02783,0.8818162
21.04797,0.8966464
21.06811,0.8888267
21.08825,0.8601248
21.1084,0.8530846
21.12854,0.8725451
21.14868,0.9315298
21.16882,0.9315298
21.18896,0.9543207
21.2091,0.9487604
21.22925,0.9304494
21.24939,0.9304494
21.26953,0.9483837
21.28967,0.9720858
21.30981,0.9891737
21.32995,1.009532
21.3501,1.05118
21.37024,1.05118
21.39038,1.0984
21.41052,1.131245
21.43066,1.13935
21.4508,1.168902
21.47095,1.203974
21.49109,1.203974
21.51123,1.213796
21.53137,1.220431
21.55151,1.213796
21.57165,1.220431
21.59179,1.252623
21.61194,1.252623
21.63208,1.277308
21.65222,1.264154
21.67236,1.257724
21.6925,1.266571
21.71264,1.288593
21.73279,1.282752
21.75293,1.258527
21.77307,1.277895
21.79321,1.277895
21.81335,1.31053
21.83349,1.307741
21.85364,1.287842
21.87378,1.306816
21.89392,1.338589
21.91406,1.353982
21.9342,1.353982
21.95434,1.33755
21.97449,1.316789
21.99463,1.33755
22.01477,1.316789
22.03491,1.33755
22.05505,1.316789
22.07519,1.314445
22.09534,1.323533
22.11548,1.305658
22.13562,1.273142
22.15576,1.225137
22.1759,1.177259
22.19604,1.141249
22.21618,1.136596
22.23633,1.136596
22.25647,1.136596
22.27661,1.13839
22.29675,1.126752
22.31689,1.079732
22.33703,1.005292
22.35718,0.9450009
22.37732,0.9101331
22.39746,0.9192916
22.4176,0.8948339
22.43774,0.8948339
22.45788,0.8125374
22.47803,0.7196869
22.49817,0.6550735
22.51831,0.6306484
22.53845,0.6138394
22.55859,0.59068
22.57873,0.6290269
22.59888,0.8117815
22.61902,0.8117815
22.63916,0.8117815
22.6593,0.9468316
22.67944,0.8996883
22.69958,0.8328843
22.71972,0.8108184
22.73987,0.8073015
22.76001,0.8817846
22.78015,0.926505
22.80029,0.9273869
22.82043,0.9273869
22.84057,0.9383432
22.86072,0.9614363
22.88086,0.975009
22.901,1.003742
22.92113,1.078375
22.94127,1.136107
22.96141,1.136107
22.98155,1.203188
23.00169,1.255063
23.02183,1.255063
23.04198,1.329515
23.06212,1.248617
23.08226,1.089615
23.1024,1.011417
23.12254,1.089615
23.14268,1.011417
23.16282,1.035187
23.18297,1.052424
23.20311,1.061013
23.22325,1.074965
23.24339,1.074965
23.26353,1.101613
23.28367,1.101613
23.30382,1.141093
23.32396,1.215369
23.3441,1.141093
23.36424,1.215369
23.38438,1.285497
23.40452,1.287441
23.42467,1.212779
23.44481,1.192011
23.46495,1.304759
23.48509,1.304759
23.50523,1.229001
23.52537,1.208748
23.54552,1.25304
23.56566,1.348011
23.5858,1.301154
23.60594,1.29201
23.62608,1.322824
23.64622,1.324237
23.66636,1.324237
23.68651,1.270369
23.70665,1.270369
23.72679,1.311733
23.74693,1.270279
23.76707,1.202153
23.78721,1.141726
23.80736,1.098702
23.8275,1.026801
23.84764,0.9745389
23.86778,0.9745389
23.88792,0.9375728
23.90806,0.9266132
23.92821,0.8787794
23.94835,0.901241
23.96849,0.901241
23.98863,0.9007953
24.00877,0.8857571
24.02891,0.8706251
24.04906,0.843284
24.0692,0.843284
24.08934,0.8465183
24.10948,0.8878223
24.12962,0.8938541
24.14976,0.8911541
24.1699,0.8635494
24.19005,0.8345748
24.21019,0.8327741
